Group,Higher_Taxon,Family,Species,MIN,q25Wkg,qWkg,Mg,TC,DMg,N_DM,WC,Source,mass_g
I,Copepoda,Calanidae,Neocalanus plumchrus,MIN,3.2741,0.96,0.004,7.3,0.000785,80,,Ikeda et al. 2001,0.004
I,Copepoda,Calanidae,Neocalanus plumchrus,,4.1710,2.1,0.0015,15.1,0.000294,80,,Ikeda et al. 2001,0.0015
I,Copepoda,Calanidae,Neocalanus plumchrus,,4.5277,1.18,0.0013,5.6,0.000263,80,,Ikeda et al. 2001,0.0013
I,Copepoda,Oithonidae,Oithona davisae,MIN,9.8500,9.85,0.0000030,25,0.000000575,81,,Castellani et al. 2005,0.0000030
I,Copepoda,Oithonidae,Oithona minuta,MIN,29.9,21.1,0.0000039,20,,,,Pavlova 1961,0.0000039
I,Copepoda,Oithonidae,Oithona nana,MIN,17.2360,7.0,0.0000026,12,0.0000005,81,,Castellani et al. 2005,0.0000026
I,Copepoda,Oithonidae,Oithona plumifera,MIN,1.9292,1.8,0.0000089,24,0.0000017,81,,Castellani et al. 2005,0.0000089
I,Copepoda,Oithonidae,Oithona setigera,MIN,6.4306,6.0,0.0000086,24,0.0000016,81,,Castellani et al. 2005,0.0000086
I,Copepoda,Oithonidae,Oithona similis,MIN,0.4800,0.48,0.000007,25,0.0000014,80,,Castellani et al. 2005,0.000007
I,Copepoda,Oithonidae,Oithona similis,,7.8000,7.8,0.000007,25,0.0000014,80,,Castellani et al. 2005,0.000007
I,Copepoda,Oithonidae,Oithona tenuis,MIN,5.8948,5.5,0.0000067,24,0.0000013,81,,Castellani et al. 2005,0.0000067
I,Copepoda,Oncaeidae,Oncaea conifera,MIN,5.665,4.006,0.00006,20,,,,Pavlova 1975,0.00006
I,Copepoda,Oncaeidae,Oncaea mediterranea,MIN,6.655,4.706,0.000062,20,,,,Pavlova 1975,0.000062
I,Copepoda,Phaennidae,Onchocalanus magnus,MIN,1.680,0.420,0.0124,5,,,,Thuesen et al. 1998,0.0124
I,Copepoda,Augauptilidae,Pachyptilus pacificus,MIN,0.692,0.173,0.0158,5,,,,Thuesen et al. 1998,0.0158
I,Copepoda,Augauptilidae,Pachyptilus pacificus,,0.795,0.156,0.0158,1.5,,,,Thuesen et al. 1998,0.0158
I,Copepoda,Paracalanidae,Paracalanus parvus,MIN,19.5556,9.06,0.000019,13.9,0.0000038,80,,Ikeda et al. 2001,0.000019
I,Copepoda,Euchaetidae,Paraeuchaeta antarctica,MIN,0.7241,0.128,0.019551,0,0.004,79.3,,Kawall et al. 2001,0.019551
I,Copepoda,Euchaetidae,Paraeuchaeta birostrata,MIN,1.021,0.361,0.0129,10,,,,Thuesen et al. 1998,0.0129
I,Copepoda,Euchaetidae,Paraeuchaeta birostrata,,1.156,0.289,0.0126,5,,,,Thuesen et al. 1998,0.0126
I,Copepoda,Euchaetidae,Paraeuchaeta brevicauda,MIN,0.912,0.228,0.0264,5,,,,Thuesen et al. 1998,0.0264
I,Copepoda,Euchaetidae,Paraeuchaeta californica,MIN,1.204,0.301,0.0137,5,,,,Thuesen et al. 1998,0.0137
I,Copepoda,Euchaetidae,Paraeuchaeta japonica,MIN,2.3892,0.672,0.0093,6.7,0.00201,78.4,,Ikeda 1970,0.0093
I,Copepoda,Euchaetidae,Paraeuchaeta norvegica,MIN,1.39,0.49,0.0223,10,0.00459,80,,Conover 1960,0.0223
I,Copepoda,Euchaetidae,Paraeuchaeta norvegica,,1.58,0.56,0.0194,10,0.00388,80,,Conover 1960,0.0194
I,Copepoda,Euchaetidae,Paraeuchaeta norvegica,,1.81,0.64,0.0190,10,0.00380,80,,Conover 1960,0.0190
I,Copepoda,Euchaetidae,Paraeuchaeta rubra,MIN,0.848,0.212,0.0127,5,,,,Thuesen et al. 1998,0.0127
I,Copepoda,Euchaetidae,Paraeuchaeta rubra,,1.6251,0.33,0.0131,2,0.00383,0.0729,69.1,Ikeda et al. 2004,0.0131
I,Copepoda,Euchaetidae,Paraeuchaeta sesquipedalis,MIN,1.020,0.255,0.0249,5,,,,Thuesen et al. 1998,0.0249
I,Copepoda,Euchaetidae,Paraeuchaeta sp.,MIN,6.0641,1.072,0.017,0,0.003,83,,Opalinski 1991,0.017
I,Copepoda,Euchaetidae,Paraeuchaeta tonsa,MIN,2.164,0.541,0.0066,5,,,,Thuesen et al. 1998,0.0066
I,Copepoda,Metridinidae,Pleuromamma abdominalis,MIN,4.895,3.461,0.00123,20,,,,Pavlova 1975,0.00123
I,Copepoda,Metridinidae,Pleuromamma abdominalis,,10.0140,5.007,0.000415,15,0.000083,80,,Nival et al. 1972,0.000415
I,Copepoda,Metridinidae,Pleuromamma abdominalis,,10.120,7.156,0.0008,20,,,,Pavlova 1975,0.0008
I,Copepoda,Metridinidae,Pleuromamma gracilis,MIN,5.500,3.889,0.000270,20,,,,Pavlova 1975,0.000270
