species,family,order,M_mg,Q_uW25,mass_g
Sphaeriontis dilatata,Tenebrionidae,Coleoptera,46.0,150.7,0.046
Blaps gigas,Tenebrionidae,Coleoptera,1776.0,4508.3,1.776
Nyctobates procerus,Tenebrionidae,Coleoptera,2198.0,1753.3,2.198
Pterohelaeus sp.,Tenebrionidae,Coleoptera,245.0,481.6,0.245
Tenebrio molitor,Tenebrionidae,Coleoptera,100.0,372.2,0.1
Zophobas sp.,Tenebrionidae,Coleoptera,535.0,1269.6,0.535
Tribolium castaneum*,Tenebrionidae,Coleoptera,2.4,13.0,0.0024
Tribolium confusum,Tenebrionidae,Coleoptera,2.01,16.3,0.0020099999999999996
Trogloderus costatus,Tenebrionidae,Coleoptera,29.87,93.1,0.02987
Vieta bulbifera,Tenebrionidae,Coleoptera,479.0,538.8,0.479
Vieta muscosa,Tenebrionidae,Coleoptera,140.0,135.4,0.14
Cryptoglossa verrucosa,Tenebrionidae,Coleoptera,700.0,418.8,0.7
Edrotes ventricosus,Tenebrionidae,Coleoptera,24.35,91.9,0.02435
Pimelia cenchronota,Tenebrionidae,Coleoptera,1474.0,620.9,1.474
Pimelia grandis,Tenebrionidae,Coleoptera,2098.0,3734.1,2.098
Pimelia obsoleta,Tenebrionidae,Coleoptera,861.0,3011.3,0.861
Rhytinota praelonga,Tenebrionidae,Coleoptera,105.0,100.0,0.105
Triorophus laevis,Tenebrionidae,Coleoptera,8.46,107.7,0.00846
Helius waiti,Tenebrionidae,Coleoptera,672.0,1675.1,0.672
Cardiosis fairmarei,Tenebrionidae,Coleoptera,32.0,29.6,0.032
Zophosis orbicularis,Tenebrionidae,Coleoptera,103.0,121.4,0.103
Psammodes striatus,Tenebrionidae,Coleoptera,3010.0,4271.5,3.01
Epiphysa arenicola,Tenebrionidae,Coleoptera,1237.0,469.4,1.237
Onymacris plana,Tenebrionidae,Coleoptera,767.0,925.9,0.767
Onymacris laeviceps,Tenebrionidae,Coleoptera,525.0,427.9,0.525
Onymacris rugatipennis rugatipennis,Tenebrionidae,Coleoptera,496.0,446.2,0.496
Onymacris rugatipennis albotesselata,Tenebrionidae,Coleoptera,573.0,578.91,0.573
Onymacris unguicularis,Tenebrionidae,Coleoptera,737.0,176.0,0.737
Stenocara gracilipes,Tenebrionidae,Coleoptera,268.0,476.3,0.268
Eusattus dubius,Tenebrionidae,Coleoptera,27.22,282.6,0.027219999999999998
Eleodes armata,Tenebrionidae,Coleoptera,917.0,823.6,0.917
Eleodes grandicollis,Tenebrionidae,Coleoptera,521.93,2537.0,0.52193
Eleodes sp.,Tenebrionidae,Coleoptera,88.85,356.2,0.08885
Eleodes tenebrosa,Tenebrionidae,Coleoptera,51.53,247.4,0.05153
Meloid sp.,Meloidae,Coleoptera,17.34,406.7,0.01734
Acanthoderes circumflexa,Cerambycidae,Coleoptera,139.0,241.8,0.139
Acrocinus longimanus,Cerambycidae,Coleoptera,5383.0,16565.8,5.383
Dryoctenes scrupulosa,Cerambycidae,Coleoptera,1823.0,2825.3,1.823
Oncideres putator,Cerambycidae,Coleoptera,681.0,1095.9,0.681
Taeinotes scalaris,Cerambycidae,Coleoptera,397.0,952.3,0.397
Acanthophorus confinis,Cerambycidae,Coleoptera,3490.0,6180.9,3.49
Macrodontia dejeani,Cerambycidae,Coleoptera,4860.0,7799.2,4.86
Stenodontes molaria,Cerambycidae,Coleoptera,2944.0,6393.9,2.944
Stenodontes sp.,Cerambycidae,Coleoptera,1043.0,2040.6,1.043
Trachysomus peregrinus,Cerambycidae,Coleoptera,547.0,603.8,0.547
Brasilanus batus,Cerambycidae,Coleoptera,1965.0,6232.9,1.965
Eburia sp.,Cerambycidae,Coleoptera,582.0,1493.2,0.582
Nyssicus setosus,Cerambycidae,Coleoptera,996.0,715.5,0.996
Phorocantha recurva,Cerambycidae,Coleoptera,260.0,800.2,0.26
Phorocantha semipunctata,Cerambycidae,Coleoptera,300.0,701.7,0.3
Xenambyx laticauda,Cerambycidae,Coleoptera,1217.0,1571.9,1.217
Diplocapsis sp.,Chrysomelidae,Coleoptera,5.34,89.1,0.00534
Griburius sp.,Chrysomelidae,Coleoptera,3.31,60.1,0.00331
Griburius sp.,Chrysomelidae,Coleoptera,9.42,43.7,0.00942
Leptinotarsa decemlineata,Chrysomelidae,Coleoptera,150.0,693.9,0.15
Monoxia sp.,Chrysomelidae,Coleoptera,4.63,79.2,0.00463
Smicronyx imbricata,Curculionidae,Coleoptera,0.32,3.6,0.00032
Ectemnorhinus marioni,Curculionidae,Coleoptera,9.6,27.3,0.0096
Ectemnorhinus similis,Curculionidae,Coleoptera,13.4,32.5,0.0134
Ips acuminatus,Scolytidae,Coleoptera,2.84,36.3,0.0028399999999999996
Calandra oryzae,Curculionidae,Coleoptera,1.7,17.7,0.0017
Sitophilus granarius,Curculionidae,Coleoptera,3.68,139.6,0.00368
Microcerus sp.,Curculionidae,Coleoptera,132.0,189.6,0.132
Ophryastes varius,Curculionidae,Coleoptera,27.26,119.3,0.027260000000000003
Miloderes sp.,Curculionidae,Coleoptera,3.4,65.7,0.0034
Hylobius abietis,Curculionidae,Coleoptera,183.0,418.1,0.183
Hipporhinus tenuegranosus,Curculionidae,Coleoptera,1080.0,548.0,1.08
Eucyllus vagans,Curculionidae,Coleoptera,7.43,31.8,0.00743
Eucyllus unicolor,Curculionidae,Coleoptera,2.59,13.2,0.00259
Bothrometopus randi,Curculionidae,Coleoptera,24.6,51.1,0.0246
Bothrometopus parvulus,Curculionidae,Coleoptera,3.6,19.4,0.0036
Bothrometopus elongatus,Curculionidae,Coleoptera,1.7,15.2,0.0017
Palirhoeus eatoni,Curculionidae,Coleoptera,6.7,24.3,0.0067
Lixus bisulcatus,Curculionidae,Coleoptera,405.0,1357.0,0.405
Rhynchaenus flagellum,Curculionidae,Coleoptera,0.51,0.2,0.00051
Rhytonomus isobellina,Curculionidae,Coleoptera,8.1,93.7,0.0081
Hypera postica,Curculionidae,Coleoptera,5.8,159.5,0.0058
Canonopsis sericeus,Curculionidae,Coleoptera,58.9,175.1,0.0589
Unknown genus,Curculionidae,Coleoptera,0.3,1.63,0.0003
Unknown genus,Curculionidae,Coleoptera,193.0,120.1,0.193
Unknown genus,Curculionidae,Coleoptera,10.5,7.0,0.0105
Cerotalis sp.,Carabidae,Coleoptera,562.0,474.6,0.562
Chilanthia cavernosa,Carabidae,Coleoptera,1026.0,1571.5,1.026
Thermophilum babaulti,Carabidae,Coleoptera,1295.0,3223.9,1.295
Thermophilum hexastictum,Carabidae,Coleoptera,2025.0,2423.2,2.025
Triaenogeius scupturatus,Carabidae,Coleoptera,170.0,341.8,0.17
Anthia fabricii,Carabidae,Coleoptera,2250.0,1875.1,2.25
Cypholoba bihamata,Carabidae,Coleoptera,245.0,961.6,0.245
Cypholoba chanleri,Carabidae,Coleoptera,326.0,780.2,0.326
Cypholoba sp.,Carabidae,Coleoptera,192.0,937.4,0.192
Cypholoba tenuicollis,Carabidae,Coleoptera,59.0,245.7,0.059
